,track_name,album,artist,release_date,length,popularity,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,genre,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,predicted_genre,actual_genre
4,Sadnecessary,Sadnecessary,Milky Chance,2013-05-31,298000,51,0.757,0.542,9,-10.674000000000001,1,0.0775,0.7959999999999999,0.0196,0.265,0.466,107.988,4,Rock,0.757,0.542,9.0,-10.674000000000001,1.0,0.0775,0.7959999999999999,0.0196,0.265,0.466,107.988,4.0,1.0,1.0
7,Moving Men (feat. Mac DeMarco),Moving Men,Myd,2020-10-28,167786,30,0.815,0.6609999999999999,10,-8.208,1,0.0996,0.106,0.266,0.284,0.6990000000000001,124.991,3,Rock,0.815,0.6609999999999999,10.0,-8.208,1.0,0.0996,0.106,0.266,0.284,0.6990000000000001,124.991,3.0,4.0,1.0
18,Night Ride,City Club,The Growlers,2016-09-30,251374,0,0.613,0.7240000000000001,9,-4.798,0,0.0305,0.0136,0.0,0.12,0.626,110.07600000000001,4,Rock,0.613,0.7240000000000001,9.0,-4.798,0.0,0.0305,0.0136,0.0,0.12,0.626,110.07600000000001,4.0,1.0,1.0
31,Rocky,Rocky,Still Woozy,2021-02-19,166000,69,0.7340000000000001,0.518,11,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083,4,Rock,0.7340000000000001,0.518,11.0,-9.514,0.0,0.0813,0.556,0.00282,0.111,0.555,101.083,4.0,1.0,1.0
32,Espejismo,Espejismo,La Madre Tirana,2021-02-19,239146,23,0.635,0.7170000000000001,5,-6.023,1,0.0285,0.0241,0.00298,0.081,0.625,112.98700000000001,4,Rock,0.635,0.7170000000000001,5.0,-6.023,1.0,0.0285,0.0241,0.00298,0.081,0.625,112.98700000000001,4.0,1.0,1.0
36,Count To Five,Count To Five,Rhye,2017-12-08,208706,0,0.807,0.3339999999999999,4,-8.227,0,0.0542,0.637,0.0403,0.11,0.731,98.01,4,Rock,0.807,0.3339999999999999,4.0,-8.227,0.0,0.0542,0.637,0.0403,0.11,0.731,98.01,4.0,0.0,1.0
37,One Trick Ponies,Bottle It In,Kurt Vile,2018-10-12,321160,52,0.68,0.8420000000000001,9,-5.32,0,0.0258,0.14800000000000002,0.00283,0.125,0.7170000000000001,94.524,4,Rock,0.68,0.8420000000000001,9.0,-5.32,0.0,0.0258,0.14800000000000002,0.00283,0.125,0.7170000000000001,94.524,4.0,1.0,1.0
46,Catherine,Catherine,Box of Matches,2020-10-30,218000,22,0.713,0.5870000000000001,11,-11.401,0,0.0428,0.0144,0.0015,0.07,0.877,105.899,4,Rock,0.713,0.5870000000000001,11.0,-11.401,0.0,0.0428,0.0144,0.0015,0.07,0.877,105.899,4.0,1.0,1.0
48,Moment,Moment,Naked Next Door,2021-03-05,193758,20,0.452,0.848,3,-3.2430000000000003,1,0.0394,0.10300000000000001,0.0,0.344,0.442,83.03200000000002,4,Rock,0.452,0.848,3.0,-3.2430000000000003,1.0,0.0394,0.10300000000000001,0.0,0.344,0.442,83.03200000000002,4.0,3.0,1.0
54,Don't Be,Off the Edge,TK Collective,2021-03-19,198631,18,0.35700000000000004,0.672,11,-7.275,0,0.1689999999999999,0.171,0.0,0.0991,0.594,189.422,4,Rock,0.35700000000000004,0.672,11.0,-7.275,0.0,0.1689999999999999,0.171,0.0,0.0991,0.594,189.422,4.0,3.0,1.0
